"","review"
"247","마냥 뻔하지는 않은 스토리. 세차 장면이 킬링파트!"
"248","지리한 애니 뮤직비디오 비루한 줄거리 특징없는 캐릭터"
"249","영화 보고 나오면서 초딩 딸애가 ""엄마!  지금까지 봤던 영화 중에 제일""~ 하길래 영화 보는 내내 따분했던 저는 당연히 ""재미없었지?"" 했어요. 근데 무슨 말 하냐며 제일 재밌었다더군요. 다행인거죠? ㅋ 저희집 두딸은 엄청 재밌었다네요.^^"
"250",""
"251","초집중하게 되더라구요 음악을 좋아해서인지 너무 재미있게 보고왔네요"
"252","이런 허접한 에니메이션 왜 개봉하냐"
"253","아이들과보기엔 더 없이 재밌던 영화였습니다.물론  성인커플들이  데이트삼아 가서 보기엔 다소 유치하게 느낄수 있지만  아이들과 같이 관람하는 부모들 입장에선  아이들도  부모도  둘다 만족할수  있는  영화였음.영화속  Ost는   보는 내내  귀에 즐거움을 줘서  좋았습니다."
"254","보진 않았습니다"
"255","신나는 노래. 웃긴 돼지. 짱 캡."
"256",""
"257",""
"258","어른들도 보기좋은 영화네요 노래도 너무좋아요"
"259",""
"260","크리스마스라서 애들과 함께 본 영화였습니다. 전혀 기대없이 봤는데 재미와 감동 모두 올해 최고였습니다. 가족영화로 강추합니다."
"261",""
"262","애들이랑 잼있게 볼만한 영화입니다~"
"263","아이들이랑 너무 재미있게 봤어요~"
"264","기대를 저버리지 않네요 재미와 감동 ^^~~~"
"265","다음에 보러 가는데 2위 ? 완전 반란 기왕이면 마스터도 따면 좋겠다"
"266","5살 딸이랑 같이 봤는데~너무 잼있게 봤어요~아직 한글을 몰라서 노래가 한글자막으로 나올때 살짝  지루해 하는듯...하지만 전체적인 내용은 감동적이였어요~""도전을 두려워말고~실패에 좌절하지 말자""라는 좋은 교훈을 얻을수 있는 영화라 생각되기에~아이들과 함께 보기좋은 영화로 적극  추천합니다~♡♡♡"
"267","전반부는 딱히 웃음 요인은 많지 않아서 지루한 면이 있었음. 확실히 디즈니 영화에 비해 스토리나 코믹적인 디테일이 많이 떨어짐. 그러나 후반부로 가면서 본격적으로 노래가 나오고  분위기도 살고 재밌어짐. 노래들은 정말 좋음!"
"268",""
"269","노래와 영화내용 둘다 감동 2시간내내웃었어요"
"270","청소년과  어른들에게  너무 감동적인 영화예요  노래도 구매하고 싶을 정도로 너무 좋은 명곡들입니다"
"271","초등학생 3학년 아들이 보자고 해서 기대없이 봤는데 대박~~아들이 음악성이 있는 듯^-^너무~재미있게 본 애니스토리, 재미, 무엇보다 영화를 이끌어가는 음악이 탁월함모두 만족스런 영화~~강추^^"
"272","초등 1학년과 봤는데  더빙이지만 노래는 모두 원어 그대로 더라구요. 아이가 자막을  못따라가서 좀 지루해 했어요.노래를 이해해야만 영화가 더 재미있을텐데 좀 친절하지 못하네요."
"273","매일 같은 일상을 살아가는 우리에게도 실은 간절한 꿈이 있었지.  영화 속 인물들이나마 그 꿈들을 한번씩 이뤄보는 모습을 보면서, 웃기면서도 이상하게 눈물이 났다."
"274","올해 최고의 애니메이션이다.  일루미네이션이 또 한 건 했네."
"275","어른도 재밌게 볼만하네요맘마미아 볼때 감동이 생각남^^"
"276","아이들이 좋아하네요 ㅎㅎ"
"277","기대를 엄청했는데 노래 부르는 장면 제외하고는 너무너무 지루함."
"278","6세 7세아이들과 봤는데 지루하네요. 노래는 더빙 안하고 원곡 그대로 나와서 아이들이 보기 힘들어했어요..전반부엔 딱히 재미요소도 없도 그나마 후반부에 노래가 좋아서 좀 나았는데아이들은 노래가 영어로 나오니 더 재미없어했어요..아이들이 좋아할만한 노래도 아닌것 같고요.돈이랑 시간아깝네요"
"279","말로 표현할 수 없는 재미! 꼭 봐야 하는 영화에요. 일어나서 박수 칠 뻔 했다는ㅋㅋ 영화로 오디션을 즐길 수 있습니다~^^"
"280","애들보다 어른에게 더 재미있는!!"
"281","5.6살  크리스마스 전날 만화보여준다고  아무기대없이 갔는데 애들도 재미있다구하고  부모들이 더 감동받은 영화네요  재미와 청량감도있고  근래 만화영화보고 감동받긴 첨이네요 영화대사중  바닥까지 떨어졌다는건 올라갈일만 남았다는 대사가 기억납니다 모두 해피새해되세요^^"
"282","(^___^)b 초4학년~ 딸내미랑 젬나게 보고왔어요~! 두럽다고 사랑하는 일을 포기하지마!!!"
"283",""
"284",""
"285",""
"286","9 .6살이 보기엔  지루한편인지 언제 끝나냐고 묻더군요    스토리는 좋으나 아이들 눈을 사로잡진 못해서 감점입니다."
"287",""
"288","우리아이가 보고싶다해서 보게된건데 노래도 좋고 감동도 있고 기대이상이였다.. 보고나서 다시금 생각하게 되는것인데 음악이 없다면 이세상은 지옥일것이다.."
"289","이런거 진짜 쓰기 싫어하는데. .오늘 애들 데리고 봤어요애들도 좋아하고 저도 정말 감동적으로 잘봤어요애들은 노래듣는거에 좋아하고 저는 스토리에 감동받았네요"
"290","정말  재미있게  봤고  노래도  좋다. TOP  OF  THE  TOP!!!!!"
"291","7세딸 남편 저 모두가 만족했던 영화에요. 기대없이 갔다가 ㅋ 딸도 깔깔거리며 집중해서 봤어요. 노래들도 참 좋았어요."
"292","지루했음 애들보기에도 스토리가 약하듯~"
"293","4살 아들  중간부분  지루해함 저도 좀  졸구요노래는 좋음"
"294","너무 재밌게 봤어요~~^^노래가 너무 좋았어요"
"295",""
"296","딸이랑 같이 보았는데 아는 팝음악도 많이 나오고 애니메이션 디테일이 너무 좋았어요. 재미있게 보았습니다."
"297","아이들용. 어른들한테는 지루함."
"298",""
"299",""
"300",""
"301","좋은 노래를 많이 들을 수 있었고 동물들의 표정도 너무 좋음"
"302","노래들이 너무 좋았고 신났지만 짧은시간에 개연성있고 매끄럽게 스토리를 연결시키는데는 실패한듯 하네요.  최소 3시간은 됐어야 뭔가 이야기가 만들어졌을텐데 안타깝네요"
"303","기분전환되는 신나는 영화를 기대했는데생각보다는 지루하네요. 감정이입이 잘 안됨"
"304","영화보다 무대로 나갈뻔했어요~동물들은 엄청 귀여웠고 노래는 흥폭발이었습니다^.^"
"305",""
"306",""
"307","캐릭터들이 개성있고 어울려 멋진 무대를 펼쳐보인다 !  ~ ( 두려움 때문에 좋아하는 일을 포기마라 !  ...  부딪혀서 하다보면 두려움이 사라질거다 ~  ♡ 버스터문과 소심한 미나가 서로 격려하며 )"
"308","만점 ~!  보는 내내 행복하다고 생각했어요~ 영화에  나오는 음악도 너무 좋고 캐릭터도 넘 귀엽습니다~^^"
"309","남녀노소 가족들과 함께 엉덩이를 들썩이며 볼 수 있는 간만에 즐거운 영화입니다!!"
"310","애니메이션오랫만이었는데 지금어려운시기에 희망과 용기를주는 좋은영화였습이다"
"311","지금  스스로 힘들다고 생각되는 분들이 본다면 도움이 될거예요  애니메이션에선 절망이 늘 지나치진  않지만 씽은 달라요  가장강력한 절망속에서 가장큰 감동과 즐거움을 느끼실수 있습니다  거기에 한가지 더...대단한 배우들의 대단한 노래실력도 보너스로 받게됩니다  시종일관 어깨가 들썩~~"
"312","감동을주는 꼭 봐야할 영화"
"313","sing 지저귀다, 노래하다의 뜻을 가진 단어 입니다.  힘들고, 고생스럽다고 하지마시고 다들 꿈과 희망을 찾아가는 이 만화의 과정을 보시면서 인생에서의 참된 노래를 지저귀시기를... 이루어지겠지요 힘들내세요 당신들이라 아릅답습니다.대한민국이라는..."
"314","재미있음. . 인종 차별 있다지만.. 우리나라 사람 아니라서 뭐.. 그냥 넘김"
"315","마이펫의 이중생활이 더 잼있는듯...그렇지만 나쁘지 않았음슈퍼배드3나 빨리 개봉 했으면"
"316","특히ㅡ군터ㅡㅡㅡ너무조앙♡♡"
"317","예고편보고 반했내요.."
