"","date","id","content"
"324",2013-09-19,"창후니(1230****)","관상으로 인해 다시 보게되는 영화엿다관상은 주연급배우여럿을가지고 흐름을 움직엿다면광해는 이병헌하나로 모든것을이끌어나갔다관상에 대한 사람들의 평은 광해를 본 이후로 안좋아진다. 아쉬울 뿐이지만 광해는 사극픽션영화중 최고다"
"325",2013-07-21,"훼어니스 L(wkdu****)","웃음과 감동이 조화를 이룬 영화, 사극을 좋아하지 않는 이더라도 가슴 깊이 깨달을 수 있는 영화."
"326",2013-07-21,"몽글(mong****)","이 시대가 원하는 진정한 영화다. 서민적이지만 천하지 않은 왕. 냉철하지 않지만 지혜로운 왕."
"327",2013-07-03,"ekdm****","솔직히 전 사극 별로라 별 흥미 없이 봤는데계속 집중하면서 보게되었습니다 .. 이 영화로 이병헌씨 팬도 되었구요 ㅋㅋ"
"328",2013-06-09,"붕어빵(ghdu****)","정말 재밌었고, 광해군의 재해석도 아주 좋았다."
"329",2013-02-11,"miss****","대박"
"330",2013-08-29,"sjh6****","이병헌의 연기가 돋보임 깨알같은 재미도 있음"
"331",2013-06-26,"OSㅡEOS(hyun****)","작품성 굉장하다.. 보는내내 재미도있었고 흥미도있었다."
"332",2013-05-19,"부르주아(jms5****)","오랜만에 잘만들어진 한국영화를 본 것 같다. 우리나라만이 만들수있는 사극영화의 정점! 배우들의 연기하나하나가 탄탄하고, 작품완성도가 대단하다. 이병헌, 류승룡의 연기가 일품! 김인권의 명품조연 연기도 한몫! 못 본 분들은 꼭 보시길! 후회하지 않는다!"
"333",2013-09-22,"wlse****","영화는 전문가들처럼 객관적으로 평가하지 않고 관객들에게 감동을 주는 것이 진짜 명작이다"
"334",2013-08-05,"dizi****","픽션과 논픽션 사이를 절묘하게 줄타기하다"
